Summary,DTSTART,color
丙日,07/18/2019,blue
丁日,07/19/2019,blue
庚申日,07/22/2019,red
辛日,07/23/2019,red
甲子日,07/26/2019,red
丙日,07/28/2019,blue
丁日,07/29/2019,blue
辛日,08/02/2019,red
丙日,08/07/2019,blue
丁日,08/08/2019,blue
辛日,08/12/2019,red
丙日,08/17/2019,blue
丁日,08/18/2019,blue
辛日,08/22/2019,red
丙日,08/27/2019,blue
丁日,08/28/2019,blue
辛日,09/01/2019,red
丙日,09/06/2019,blue
丁日,09/07/2019,blue
辛日,09/11/2019,red
丙日,09/16/2019,blue
丁日,09/17/2019,blue
庚申日,09/20/2019,red
辛日,09/21/2019,red
甲子日,09/24/2019,red
丙日,09/26/2019,blue
丁日,09/27/2019,blue
辛日,10/01/2019,red
丙日,10/06/2019,blue
丁日,10/07/2019,blue
辛日,10/11/2019,red
丙日,10/16/2019,blue
丁日,10/17/2019,blue
辛日,10/21/2019,red
丙日,10/26/2019,blue
丁日,10/27/2019,blue
辛日,10/31/2019,red
丙日,11/05/2019,blue
丁日,11/06/2019,blue
辛日,11/10/2019,red
丙日,11/15/2019,blue
丁日,11/16/2019,blue
庚申日,11/19/2019,red
辛日,11/20/2019,red
甲子日,11/23/2019,red
丙日,11/25/2019,blue
丁日,11/26/2019,blue
辛日,11/30/2019,red
丙日,12/05/2019,blue
丁日,12/06/2019,blue
辛日,12/10/2019,red
丙日,12/15/2019,blue
丁日,12/16/2019,blue
辛日,12/20/2019,red
丙日,12/25/2019,blue
丁日,12/26/2019,blue
冬至后庚日,12/29/2019,red
冬至后辛日,12/30/2019,red
初伏，宜戒30天(从今至末伏),07/22/2019,red
中伏,08/01/2019,red
末伏,08/11/2019,red
阳错日,01/16/2019,blue
阴错日,01/26/2019,blue
阳错日,03/19/2019,blue
阴错日,03/25/2019,blue
阴错日,05/10/2019,blue
阳错日,05/20/2019,blue
阳错日,07/09/2019,blue
阴错日,07/19/2019,blue
阴错日,09/15/2019,blue
阴错日,09/16/2019,blue
阳错日,09/21/2019,blue
阴错日,11/12/2019,blue
阳错日,11/21/2019,blue
阳错日,11/22/2019,blue
四绝日,02/03/2020,red
四离日,03/20/2020,red
春社日,03/22/2020,red
四绝日,05/05/2020,red
四离日,06/21/2020,red
四绝日,08/07/2020,red
四离日,09/17/2020,red
秋社日,09/18/2020,red
四绝日,11/07/2020,red
四离日,12/21/2020,red
辛日,01/04/2020,red
丙日,01/09/2020,blue
丁日,01/10/2020,blue
丙日,01/19/2020,blue
丁日,01/20/2020,blue
庚申日,01/23/2020,red
辛日,01/24/2020,red
冬至后第三戌日,01/25/2020,red
甲子日,01/27/2020,red
丙日,01/29/2020,blue
丁日,01/30/2020,blue
辛日,02/03/2020,red
丙日,02/08/2020,blue
丁日,02/09/2020,blue
辛日,02/13/2020,red
丙日,02/18/2020,blue
丁日,02/19/2020,blue
辛日,02/23/2020,red
丙日,02/28/2020,blue
丁日,03/01/2020,blue
辛日,03/05/2020,red
丙日,03/10/2020,blue
丁日,03/11/2020,blue
辛日,03/15/2020,red
丙日,03/20/2020,blue
丁日,03/21/2020,blue
庚申日,03/24/2020,red
辛日,03/25/2020,red
甲子日,03/28/2020,red
丙日,03/30/2020,blue
丁日,03/31/2020,blue
辛日,04/04/2020,red
丙日,04/09/2020,blue
丁日,04/10/2020,blue
辛日,04/14/2020,red
丙日,04/19/2020,blue
丁日,04/20/2020,blue
辛日,04/24/2020,red
丙日,04/29/2020,blue
丁日,04/30/2020,blue
辛日,05/04/2020,red
丙日,05/09/2020,blue
丁日,05/10/2020,blue
辛日,05/14/2020,red
丙日,05/19/2020,blue
丁日,05/20/2020,blue
庚申日,05/23/2020,red
辛日,05/24/2020,red
甲子日,05/27/2020,red
丙日,05/29/2020,blue
丁日,05/30/2020,blue
辛日,06/03/2020,red
丙日,06/08/2020,blue
丁日,06/09/2020,blue
辛日,06/13/2020,red
丙日,06/18/2020,blue
丁日,06/19/2020,blue
丙日,06/28/2020,blue
丁日,06/29/2020,blue
辛日,07/03/2020,red
丙日,07/08/2020,blue
丁日,07/09/2020,blue
辛日,07/13/2020,red
丙日,07/18/2020,blue
丁日,07/19/2020,blue
庚申日,07/22/2020,red
辛日,07/23/2020,red
甲子日,07/26/2020,red
丙日,07/28/2020,blue
丁日,07/29/2020,blue
辛日,08/02/2020,red
丙日,08/07/2020,blue
丁日,08/08/2020,blue
辛日,08/12/2020,red
丙日,08/17/2020,blue
丁日,08/18/2020,blue
辛日,08/22/2020,red
丙日,08/27/2020,blue
丁日,08/28/2020,blue
辛日,09/01/2020,red
丙日,09/06/2020,blue
丁日,09/07/2020,blue
辛日,09/11/2020,red
丙日,09/16/2020,blue
丁日,09/17/2020,blue
庚申日,09/20/2020,red
辛日,09/21/2020,red
甲子日,09/24/2020,red
丙日,09/26/2020,blue
丁日,09/27/2020,blue
辛日,10/01/2020,red
丙日,10/06/2020,blue
丁日,10/07/2020,blue
辛日,10/11/2020,red
丙日,10/16/2020,blue
丁日,10/17/2020,blue
辛日,10/21/2020,red
丙日,10/26/2020,blue
丁日,10/27/2020,blue
辛日,10/31/2020,red
丙日,11/05/2020,blue
丁日,11/06/2020,blue
辛日,11/10/2020,red
丙日,11/15/2020,blue
丁日,11/16/2020,blue
庚申日,11/19/2020,red
辛日,11/20/2020,red
甲子日,11/23/2020,red
丙日,11/25/2020,blue
丁日,11/26/2020,blue
辛日,11/30/2020,red
丙日,12/05/2020,blue
丁日,12/06/2020,blue
辛日,12/10/2020,red
丙日,12/15/2020,blue
丁日,12/16/2020,blue
辛日,12/20/2020,red
丙日,12/25/2020,blue
丁日,12/26/2020,blue
冬至后庚日,12/29/2020,red
冬至后辛日,12/30/2020,red
初伏，宜戒30天(从今至末伏),07/22/2020,red
中伏,08/01/2020,red
末伏,08/11/2020,red
宜从惊蛰戒过一月,03/05/2018,red
五月宜全戒,05/14/2018,red
宜从芒种戒过一月,06/06/2018,red
"阴阳相争,死生分判,切戒",06/21/2018,red
宜从白露戒过一月,09/08/2018,red
宜从大雪戒过一月,12/07/2018,red
"阴阳相争,死生分判,切戒",12/22/2018,red
四绝日,02/03/2018,red
四离日,03/20/2018,red
春社日,03/22/2018,red
四绝日,05/04/2018,red
四离日,06/20/2018,red
四绝日,08/06/2018,red
秋社日,09/18/2018,red
四离日,09/22/2018,red
四绝日,11/06/2018,red
四离日,12/21/2018,red
丙日,01/04/2018,blue
丁日,01/05/2018,blue
庚子日,01/08/2018,red
辛日,01/09/2018,red
丙日,01/14/2018,blue
丁日,01/15/2018,blue
冬至后第三戌日,01/18/2018,red
辛日,01/19/2018,red
丙日,01/24/2018,blue
丁日,01/25/2018,blue
庚申日,01/28/2018,red
辛日,01/29/2018,red
甲子日,02/01/2018,red
丙日,02/03/2018,blue
丁日,02/04/2018,blue
辛日,02/08/2018,red
丙日,02/13/2018,blue
丁日,02/14/2018,blue
辛日,02/18/2018,red
丙日,02/23/2018,blue
丁日,02/24/2018,blue
辛日,02/28/2018,red
丙日,03/05/2018,blue
丁日,03/06/2018,blue
辛日,03/10/2018,red
丙日,03/15/2018,blue
丁日,03/16/2018,blue
辛日,03/20/2018,red
丙日,03/25/2018,blue
丁日,03/26/2018,blue
庚申日,03/29/2018,red
辛日,03/30/2018,red
甲子日,04/02/2018,red
丙日,04/04/2018,blue
丁日,04/05/2018,blue
辛日,04/09/2018,red
丙日,04/14/2018,blue
丁日,04/15/2018,blue
辛日,04/19/2018,red
丙日,04/24/2018,blue
丁日,04/25/2018,blue
辛日,04/29/2018,red
丙日,05/04/2018,blue
丁日,05/05/2018,blue
辛日,05/09/2018,red
辛日,05/19/2018,red
丙日,05/24/2018,blue
丁日,05/25/2018,blue
辛日,05/29/2018,red
甲子日,06/01/2018,red
丙日,06/03/2018,blue
丁日,06/04/2018,blue
辛日,06/08/2018,red
丙日,06/13/2018,blue
丁日,06/14/2018,blue
丙日,06/23/2018,blue
丁日,06/24/2018,blue
丙日,07/03/2018,blue
丁日,07/04/2018,blue
辛日,07/08/2018,red
丙日,07/13/2018,blue
丁日,07/14/2018,blue
辛日,07/18/2018,red
丙日,07/23/2018,blue
丁日,07/24/2018,blue
辛日,07/28/2018,red
甲子日,07/31/2018,red
丙日,08/02/2018,blue
丁日,08/03/2018,blue
辛日,08/07/2018,red
丙日,08/12/2018,blue
丁日,08/13/2018,blue
辛日,08/17/2018,red
丙日,08/22/2018,blue
丁日,08/23/2018,blue
辛日,08/27/2018,red
丙日,09/01/2018,blue
丁日,09/02/2018,blue
辛日,09/06/2018,red
丙日,09/11/2018,blue
丁日,09/12/2018,blue
辛日,09/16/2018,red
丙日,09/21/2018,blue
丁日,09/22/2018,blue
庚申日,09/25/2018,red
辛日,09/26/2018,red
甲子日,09/29/2018,red
丙日,10/01/2018,blue
丁日,10/02/2018,blue
辛日,10/06/2018,red
丙日,10/11/2018,blue
丁日,10/12/2018,blue
辛日,10/16/2018,red
丙日,10/21/2018,blue
丁日,10/22/2018,blue
辛日,10/26/2018,red
丙日,10/31/2018,blue
丁日,11/01/2018,blue
辛日,11/05/2018,red
丙日,11/10/2018,blue
丁日,11/11/2018,blue
辛日,11/15/2018,red
丙日,11/20/2018,blue
丁日,11/21/2018,blue
庚申日,11/24/2018,red
辛日,11/25/2018,red
甲子日,11/28/2018,red
丙日,11/30/2018,blue
丁日,12/01/2018,blue
辛日,12/05/2018,red
丙日,12/10/2018,blue
丁日,12/11/2018,blue
辛日,12/15/2018,red
丙日,12/20/2018,blue
丁日,12/21/2018,blue
冬至后庚日,12/24/2018,red
冬至后辛日,12/25/2018,red
丙日,12/30/2018,blue
丁日,12/31/2018,blue
初伏，宜戒30天(从今至末伏),07/17/2018,red
中伏,07/27/2018,red
末伏,08/16/2018,red
阳错日,01/21/2018,blue
阴错日,01/31/2018,blue
阳错日,03/24/2018,blue
阴错日,03/30/2018,blue
阳错日,05/12/2018,blue
阴错日,05/15/2018,blue
阳错日,05/25/2018,blue
阳错日,07/14/2018,blue
阴错日,07/24/2018,blue
阴错日,09/09/2018,blue
阴错日,09/20/2018,blue
阳错日,09/26/2018,blue
阴错日,11/17/2018,blue
阳错日,11/27/2018,blue
