solar,ganzhi,jieqi,lunarYear,lunarMonth,lunarDay
09/27/19,丁卯,,2019,8,29
09/28/19,戊辰,,2019,8,30
09/29/19,己巳,,2019,9,1
09/30/19,庚午,,2019,9,2
10/01/19,辛未,,2019,9,3
10/02/19,壬申,,2019,9,4
10/03/19,癸酉,,2019,9,5
10/04/19,甲戌,,2019,9,6
10/05/19,乙亥,,2019,9,7
10/06/19,丙子,,2019,9,8
10/07/19,丁丑,,2019,9,9
10/08/19,戊寅,,2019,9,10
10/09/19,己卯,,2019,9,11
10/10/19,庚辰,,2019,9,12
10/11/19,辛巳,,2019,9,13
10/12/19,壬午,,2019,9,14
10/13/19,癸未,,2019,9,15
10/14/19,甲申,,2019,9,16
10/15/19,乙酉,,2019,9,17
10/16/19,丙戌,,2019,9,18
10/17/19,丁亥,,2019,9,19
10/18/19,戊子,,2019,9,20
10/19/19,己丑,,2019,9,21
10/20/19,庚寅,,2019,9,22
10/21/19,辛卯,,2019,9,23
10/22/19,壬辰,,2019,9,24
10/23/19,癸巳,,2019,9,25
10/24/19,甲午,,2019,9,26
10/25/19,乙未,,2019,9,27
10/26/19,丙申,,2019,9,28
10/27/19,丁酉,,2019,9,29
10/28/19,戊戌,,2019,10,1
10/29/19,己亥,,2019,10,2
10/30/19,庚子,,2019,10,3
10/31/19,辛丑,,2019,10,4
11/01/19,壬寅,,2019,10,5
11/02/19,癸卯,,2019,10,6
11/03/19,甲辰,,2019,10,7
11/04/19,乙巳,,2019,10,8
11/05/19,丙午,,2019,10,9
11/06/19,丁未,,2019,10,10
11/07/19,戊申,,2019,10,11
11/08/19,己酉,,2019,10,12
11/09/19,庚戌,,2019,10,13
11/10/19,辛亥,,2019,10,14
11/11/19,壬子,,2019,10,15
11/12/19,癸丑,,2019,10,16
11/13/19,甲寅,,2019,10,17
11/14/19,乙卯,,2019,10,18
11/15/19,丙辰,,2019,10,19
11/16/19,丁巳,,2019,10,20
11/17/19,戊午,,2019,10,21
11/18/19,己未,,2019,10,22
11/19/19,庚申,,2019,10,23
11/20/19,辛酉,,2019,10,24
11/21/19,壬戌,,2019,10,25
11/22/19,癸亥,,2019,10,26
11/23/19,甲子,,2019,10,27
11/24/19,乙丑,,2019,10,28
11/25/19,丙寅,,2019,10,29
11/26/19,丁卯,,2019,11,1
11/27/19,戊辰,,2019,11,2
11/28/19,己巳,,2019,11,3
11/29/19,庚午,,2019,11,4
11/30/19,辛未,,2019,11,5
12/01/19,壬申,,2019,11,6
12/02/19,癸酉,,2019,11,7
12/03/19,甲戌,,2019,11,8
12/04/19,乙亥,,2019,11,9
12/05/19,丙子,,2019,11,10
12/06/19,丁丑,,2019,11,11
12/07/19,戊寅,,2019,11,12
12/08/19,己卯,,2019,11,13
12/09/19,庚辰,,2019,11,14
12/10/19,辛巳,,2019,11,15
12/11/19,壬午,,2019,11,16
12/12/19,癸未,,2019,11,17
12/13/19,甲申,,2019,11,18
12/14/19,乙酉,,2019,11,19
12/15/19,丙戌,,2019,11,20
12/16/19,丁亥,,2019,11,21
12/17/19,戊子,,2019,11,22
12/18/19,己丑,,2019,11,23
12/19/19,庚寅,,2019,11,24
12/20/19,辛卯,,2019,11,25
12/21/19,壬辰,,2019,11,26
12/22/19,癸巳,,2019,11,27
12/23/19,甲午,,2019,11,28
12/24/19,乙未,,2019,11,29
12/25/19,丙申,,2019,11,30
12/26/19,丁酉,,2019,12,1
12/27/19,戊戌,,2019,12,2
12/28/19,己亥,,2019,12,3
12/29/19,庚子,,2019,12,4
12/30/19,辛丑,,2019,12,5
12/31/19,壬寅,,2019,12,6
01/01/20,癸卯,,2019,12,7
01/02/20,甲辰,,2019,12,8
01/03/20,乙巳,,2019,12,9
01/04/20,丙午,,2019,12,10
01/05/20,丁未,,2019,12,11
01/06/20,戊申,小寒,2019,12,12
01/07/20,己酉,,2019,12,13
01/08/20,庚戌,,2019,12,14
01/09/20,辛亥,,2019,12,15
01/10/20,壬子,,2019,12,16
01/11/20,癸丑,,2019,12,17
01/12/20,甲寅,,2019,12,18
01/13/20,乙卯,,2019,12,19
01/14/20,丙辰,,2019,12,20
01/15/20,丁巳,,2019,12,21
01/16/20,戊午,,2019,12,22
01/17/20,己未,,2019,12,23
01/18/20,庚申,,2019,12,24
01/19/20,辛酉,,2019,12,25
01/20/20,壬戌,大寒,2019,12,26
01/21/20,癸亥,,2019,12,27
01/22/20,甲子,,2019,12,28
01/23/20,乙丑,,2019,12,29
01/24/20,丙寅,,2019,12,30
01/25/20,丁卯,,2020,1,1
01/26/20,戊辰,,2020,1,2
01/27/20,己巳,,2020,1,3
01/28/20,庚午,,2020,1,4
01/29/20,辛未,,2020,1,5
01/30/20,壬申,,2020,1,6
01/31/20,癸酉,,2020,1,7
02/01/20,甲戌,,2020,1,8
02/02/20,乙亥,,2020,1,9
02/03/20,丙子,,2020,1,10
02/04/20,丁丑,立春,2020,1,11
02/05/20,戊寅,,2020,1,12
02/06/20,己卯,,2020,1,13
02/07/20,庚辰,,2020,1,14
02/08/20,辛巳,,2020,1,15
02/09/20,壬午,,2020,1,16
02/10/20,癸未,,2020,1,17
02/11/20,甲申,,2020,1,18
02/12/20,乙酉,,2020,1,19
02/13/20,丙戌,,2020,1,20
02/14/20,丁亥,,2020,1,21
02/15/20,戊子,,2020,1,22
02/16/20,己丑,,2020,1,23
02/17/20,庚寅,,2020,1,24
02/18/20,辛卯,,2020,1,25
02/19/20,壬辰,雨水,2020,1,26
02/20/20,癸巳,,2020,1,27
02/21/20,甲午,,2020,1,28
02/22/20,乙未,,2020,1,29
02/23/20,丙申,,2020,2,1
02/24/20,丁酉,,2020,2,2
02/25/20,戊戌,,2020,2,3
02/26/20,己亥,,2020,2,4
02/27/20,庚子,,2020,2,5
02/28/20,辛丑,,2020,2,6
02/29/20,壬寅,,2020,2,7
03/01/20,癸卯,,2020,2,8
03/02/20,甲辰,,2020,2,9
03/03/20,乙巳,,2020,2,10
03/04/20,丙午,,2020,2,11
03/05/20,丁未,惊蛰,2020,2,12
03/06/20,戊申,,2020,2,13
03/07/20,己酉,,2020,2,14
03/08/20,庚戌,,2020,2,15
03/09/20,辛亥,,2020,2,16
03/10/20,壬子,,2020,2,17
03/11/20,癸丑,,2020,2,18
03/12/20,甲寅,,2020,2,19
03/13/20,乙卯,,2020,2,20
03/14/20,丙辰,,2020,2,21
03/15/20,丁巳,,2020,2,22
03/16/20,戊午,,2020,2,23
03/17/20,己未,,2020,2,24
03/18/20,庚申,,2020,2,25
03/19/20,辛酉,,2020,2,26
03/20/20,壬戌,春分,2020,2,27
03/21/20,癸亥,,2020,2,28
03/22/20,甲子,,2020,2,29
03/23/20,乙丑,,2020,2,30
03/24/20,丙寅,,2020,3,1
03/25/20,丁卯,,2020,3,2
03/26/20,戊辰,,2020,3,3
03/27/20,己巳,,2020,3,4
03/28/20,庚午,,2020,3,5
03/29/20,辛未,,2020,3,6
03/30/20,壬申,,2020,3,7
03/31/20,癸酉,,2020,3,8
04/01/20,甲戌,,2020,3,9
04/02/20,乙亥,,2020,3,10
04/03/20,丙子,,2020,3,11
04/04/20,丁丑,清明,2020,3,12
04/05/20,戊寅,,2020,3,13
04/06/20,己卯,,2020,3,14
04/07/20,庚辰,,2020,3,15
04/08/20,辛巳,,2020,3,16
04/09/20,壬午,,2020,3,17
04/10/20,癸未,,2020,3,18
04/11/20,甲申,,2020,3,19
04/12/20,乙酉,,2020,3,20
04/13/20,丙戌,,2020,3,21
04/14/20,丁亥,,2020,3,22
04/15/20,戊子,,2020,3,23
04/16/20,己丑,,2020,3,24
04/17/20,庚寅,,2020,3,25
04/18/20,辛卯,,2020,3,26
04/19/20,壬辰,谷雨,2020,3,27
04/20/20,癸巳,,2020,3,28
04/21/20,甲午,,2020,3,29
04/22/20,乙未,,2020,3,30
04/23/20,丙申,,2020,4,1
04/24/20,丁酉,,2020,4,2
04/25/20,戊戌,,2020,4,3
04/26/20,己亥,,2020,4,4
04/27/20,庚子,,2020,4,5
04/28/20,辛丑,,2020,4,6
04/29/20,壬寅,,2020,4,7
04/30/20,癸卯,,2020,4,8
05/01/20,甲辰,,2020,4,9
05/02/20,乙巳,,2020,4,10
05/03/20,丙午,,2020,4,11
05/04/20,丁未,,2020,4,12
05/05/20,戊申,立夏,2020,4,13
05/06/20,己酉,,2020,4,14
05/07/20,庚戌,,2020,4,15
05/08/20,辛亥,,2020,4,16
05/09/20,壬子,,2020,4,17
05/10/20,癸丑,,2020,4,18
05/11/20,甲寅,,2020,4,19
05/12/20,乙卯,,2020,4,20
05/13/20,丙辰,,2020,4,21
05/14/20,丁巳,,2020,4,22
05/15/20,戊午,,2020,4,23
05/16/20,己未,,2020,4,24
05/17/20,庚申,,2020,4,25
05/18/20,辛酉,,2020,4,26
05/19/20,壬戌,,2020,4,27
05/20/20,癸亥,小满,2020,4,28
05/21/20,甲子,,2020,4,29
05/22/20,乙丑,,2020,4,30
05/23/20,丙寅,,2020,4,1
05/24/20,丁卯,,2020,4,2
05/25/20,戊辰,,2020,4,3
05/26/20,己巳,,2020,4,4
05/27/20,庚午,,2020,4,5
05/28/20,辛未,,2020,4,6
05/29/20,壬申,,2020,4,7
05/30/20,癸酉,,2020,4,8
05/31/20,甲戌,,2020,4,9
06/01/20,乙亥,,2020,4,10
06/02/20,丙子,,2020,4,11
06/03/20,丁丑,,2020,4,12
06/04/20,戊寅,,2020,4,13
06/05/20,己卯,芒种,2020,4,14
06/06/20,庚辰,,2020,4,15
06/07/20,辛巳,,2020,4,16
06/08/20,壬午,,2020,4,17
06/09/20,癸未,,2020,4,18
06/10/20,甲申,,2020,4,19
06/11/20,乙酉,,2020,4,20
06/12/20,丙戌,,2020,4,21
06/13/20,丁亥,,2020,4,22
06/14/20,戊子,,2020,4,23
06/15/20,己丑,,2020,4,24
06/16/20,庚寅,,2020,4,25
06/17/20,辛卯,,2020,4,26
06/18/20,壬辰,,2020,4,27
06/19/20,癸巳,,2020,4,28
06/20/20,甲午,,2020,4,29
06/21/20,乙未,夏至,2020,5,1
06/22/20,丙申,,2020,5,2
06/23/20,丁酉,,2020,5,3
06/24/20,戊戌,,2020,5,4
06/25/20,己亥,,2020,5,5
06/26/20,庚子,,2020,5,6
06/27/20,辛丑,,2020,5,7
06/28/20,壬寅,,2020,5,8
06/29/20,癸卯,,2020,5,9
06/30/20,甲辰,,2020,5,10
07/01/20,乙巳,,2020,5,11
07/02/20,丙午,,2020,5,12
07/03/20,丁未,,2020,5,13
07/04/20,戊申,,2020,5,14
07/05/20,己酉,,2020,5,15
07/06/20,庚戌,小暑,2020,5,16
07/07/20,辛亥,,2020,5,17
07/08/20,壬子,,2020,5,18
07/09/20,癸丑,,2020,5,19
07/10/20,甲寅,,2020,5,20
07/11/20,乙卯,,2020,5,21
07/12/20,丙辰,,2020,5,22
07/13/20,丁巳,,2020,5,23
07/14/20,戊午,,2020,5,24
07/15/20,己未,,2020,5,25
07/16/20,庚申,,2020,5,26
07/17/20,辛酉,,2020,5,27
07/18/20,壬戌,,2020,5,28
07/19/20,癸亥,,2020,5,29
07/20/20,甲子,,2020,5,30
07/21/20,乙丑,,2020,6,1
07/22/20,丙寅,大暑,2020,6,2
07/23/20,丁卯,,2020,6,3
07/24/20,戊辰,,2020,6,4
07/25/20,己巳,,2020,6,5
07/26/20,庚午,,2020,6,6
07/27/20,辛未,,2020,6,7
07/28/20,壬申,,2020,6,8
07/29/20,癸酉,,2020,6,9
07/30/20,甲戌,,2020,6,10
07/31/20,乙亥,,2020,6,11
08/01/20,丙子,,2020,6,12
08/02/20,丁丑,,2020,6,13
08/03/20,戊寅,,2020,6,14
08/04/20,己卯,,2020,6,15
08/05/20,庚辰,,2020,6,16
08/06/20,辛巳,,2020,6,17
08/07/20,壬午,立秋,2020,6,18
08/08/20,癸未,,2020,6,19
08/09/20,甲申,,2020,6,20
08/10/20,乙酉,,2020,6,21
08/11/20,丙戌,,2020,6,22
08/12/20,丁亥,,2020,6,23
08/13/20,戊子,,2020,6,24
08/14/20,己丑,,2020,6,25
08/15/20,庚寅,,2020,6,26
08/16/20,辛卯,,2020,6,27
08/17/20,壬辰,,2020,6,28
08/18/20,癸巳,,2020,6,29
08/19/20,甲午,,2020,7,1
08/20/20,乙未,,2020,7,2
08/21/20,丙申,,2020,7,3
08/22/20,丁酉,处暑,2020,7,4
08/23/20,戊戌,,2020,7,5
08/24/20,己亥,,2020,7,6
08/25/20,庚子,,2020,7,7
08/26/20,辛丑,,2020,7,8
08/27/20,壬寅,,2020,7,9
08/28/20,癸卯,,2020,7,10
08/29/20,甲辰,,2020,7,11
08/30/20,乙巳,,2020,7,12
08/31/20,丙午,,2020,7,13
09/01/20,丁未,,2020,7,14
09/02/20,戊申,,2020,7,15
09/03/20,己酉,,2020,7,16
09/04/20,庚戌,,2020,7,17
09/05/20,辛亥,,2020,7,18
09/06/20,壬子,,2020,7,19
09/07/20,癸丑,白露,2020,7,20
09/08/20,甲寅,,2020,7,21
09/09/20,乙卯,,2020,7,22
09/10/20,丙辰,,2020,7,23
09/11/20,丁巳,,2020,7,24
09/12/20,戊午,,2020,7,25
09/13/20,己未,,2020,7,26
09/14/20,庚申,,2020,7,27
09/15/20,辛酉,,2020,7,28
09/16/20,壬戌,,2020,7,29
09/17/20,癸亥,,2020,8,1
09/18/20,甲子,,2020,8,2
09/19/20,乙丑,,2020,8,3
09/20/20,丙寅,,2020,8,4
09/21/20,丁卯,,2020,8,5
09/22/20,戊辰,秋分,2020,8,6
09/23/20,己巳,,2020,8,7
09/24/20,庚午,,2020,8,8
09/25/20,辛未,,2020,8,9
09/26/20,壬申,,2020,8,10
09/27/20,癸酉,,2020,8,11
09/28/20,甲戌,,2020,8,12
09/29/20,乙亥,,2020,8,13
09/30/20,丙子,,2020,8,14
10/01/20,丁丑,,2020,8,15
10/02/20,戊寅,,2020,8,16
10/03/20,己卯,,2020,8,17
10/04/20,庚辰,,2020,8,18
10/05/20,辛巳,,2020,8,19
10/06/20,壬午,,2020,8,20
10/07/20,癸未,,2020,8,21
10/08/20,甲申,寒露,2020,8,22
10/09/20,乙酉,,2020,8,23
10/10/20,丙戌,,2020,8,24
10/11/20,丁亥,,2020,8,25
10/12/20,戊子,,2020,8,26
10/13/20,己丑,,2020,8,27
10/14/20,庚寅,,2020,8,28
10/15/20,辛卯,,2020,8,29
10/16/20,壬辰,,2020,8,30
10/17/20,癸巳,,2020,9,1
10/18/20,甲午,,2020,9,2
10/19/20,乙未,,2020,9,3
10/20/20,丙申,,2020,9,4
10/21/20,丁酉,,2020,9,5
10/22/20,戊戌,,2020,9,6
10/23/20,己亥,霜降,2020,9,7
10/24/20,庚子,,2020,9,8
10/25/20,辛丑,,2020,9,9
10/26/20,壬寅,,2020,9,10
10/27/20,癸卯,,2020,9,11
10/28/20,甲辰,,2020,9,12
10/29/20,乙巳,,2020,9,13
10/30/20,丙午,,2020,9,14
10/31/20,丁未,,2020,9,15
11/01/20,戊申,,2020,9,16
11/02/20,己酉,,2020,9,17
11/03/20,庚戌,,2020,9,18
11/04/20,辛亥,,2020,9,19
11/05/20,壬子,,2020,9,20
11/06/20,癸丑,,2020,9,21
11/07/20,甲寅,立冬,2020,9,22
11/08/20,乙卯,,2020,9,23
11/09/20,丙辰,,2020,9,24
11/10/20,丁巳,,2020,9,25
11/11/20,戊午,,2020,9,26
11/12/20,己未,,2020,9,27
11/13/20,庚申,,2020,9,28
11/14/20,辛酉,,2020,9,29
11/15/20,壬戌,,2020,10,1
11/16/20,癸亥,,2020,10,2
11/17/20,甲子,,2020,10,3
11/18/20,乙丑,,2020,10,4
11/19/20,丙寅,,2020,10,5
11/20/20,丁卯,,2020,10,6
11/21/20,戊辰,,2020,10,7
11/22/20,己巳,小雪,2020,10,8
11/23/20,庚午,,2020,10,9
11/24/20,辛未,,2020,10,10
11/25/20,壬申,,2020,10,11
11/26/20,癸酉,,2020,10,12
11/27/20,甲戌,,2020,10,13
11/28/20,乙亥,,2020,10,14
11/29/20,丙子,,2020,10,15
11/30/20,丁丑,,2020,10,16
12/01/20,戊寅,,2020,10,17
12/02/20,己卯,,2020,10,18
12/03/20,庚辰,,2020,10,19
12/04/20,辛巳,,2020,10,20
12/05/20,壬午,,2020,10,21
12/06/20,癸未,,2020,10,22
12/07/20,甲申,大雪,2020,10,23
12/08/20,乙酉,,2020,10,24
12/09/20,丙戌,,2020,10,25
12/10/20,丁亥,,2020,10,26
12/11/20,戊子,,2020,10,27
12/12/20,己丑,,2020,10,28
12/13/20,庚寅,,2020,10,29
12/14/20,辛卯,,2020,10,30
12/15/20,壬辰,,2020,11,1
12/16/20,癸巳,,2020,11,2
12/17/20,甲午,,2020,11,3
12/18/20,乙未,,2020,11,4
12/19/20,丙申,,2020,11,5
12/20/20,丁酉,,2020,11,6
12/21/20,戊戌,冬至,2020,11,7
12/22/20,己亥,,2020,11,8
12/23/20,庚子,,2020,11,9
12/24/20,辛丑,,2020,11,10
12/25/20,壬寅,,2020,11,11
12/26/20,癸卯,,2020,11,12
12/27/20,甲辰,,2020,11,13
12/28/20,乙巳,,2020,11,14
12/29/20,丙午,,2020,11,15
12/30/20,丁未,,2020,11,16
12/31/20,戊申,,2020,11,17
01/01/21,己酉,,2020,11,18
01/02/21,庚戌,,2020,11,19
01/03/21,辛亥,,2020,11,20
01/04/21,壬子,,2020,11,21
01/05/21,癸丑,小寒,2020,11,22
01/06/21,甲寅,,2020,11,23
01/07/21,乙卯,,2020,11,24
01/08/21,丙辰,,2020,11,25
01/09/21,丁巳,,2020,11,26
01/10/21,戊午,,2020,11,27
01/11/21,己未,,2020,11,28
01/12/21,庚申,,2020,11,29
01/13/21,辛酉,,2020,12,1
