solar,ganzhi,jieqi,lunarYear,lunarMonth,lunarDay,leapBigSmall,missing,extra,remark,correct
12/14/20,辛卯,,2020,10,30,0,,,,
12/15/20,壬辰,,2020,11,1,0,,,,
12/16/20,癸巳,,2020,11,2,0,,,,
12/17/20,甲午,,2020,11,3,0,,,,
12/18/20,乙未,,2020,11,4,0,jingzongshisanzu,,,1
12/19/20,丙申,,2020,11,5,0,,,,
12/20/20,丁酉,,2020,11,6,0,,,,
12/21/21,戊戌,冬至,2020,11,7,0,shangxuan,,,1
12/22/20,己亥,,2020,11,8,0,,,,
12/23/20,庚子,,2020,11,9,0,taisuiri,,,
12/24/20,辛丑,,2020,11,10,0,,,,
12/25/20,壬寅,,2020,11,11,0,taiyijiuku,,,1
12/26/20,癸卯,,2020,11,12,0,,,,
12/27/20,甲辰,,2020,11,13,0,,,,
12/28/20,乙巳,,2020,11,14,0,,,,
12/29/20,丙午,,2020,11,15,0,sitianwang,,,1
12/30/20,丁未,,2020,11,16,0,,,,
12/31/20,戊申,,2020,11,17,0,jingzongerzu,huibairi,I-column paper-skcal wrong,1
01/01/21,己酉,,2020,11,18,0,,,,
01/02/21,庚戌,,2020,11,19,0,,,,
01/03/21,辛亥,,2020,11,20,0,,,,
01/04/21,壬子,,2020,11,21,0,,,,
01/05/21,癸丑,小寒,2020,11,22,0,,,,
01/06/21,甲寅,,2020,11,23,0,,,,
01/07/21,乙卯,,2020,11,24,0,,,,
01/08/21,丙辰,,2020,11,25,0,,,,
01/09/21,丁巳,,2020,11,26,0,,,,
01/10/21,戊午,,2020,11,27,0,,,,
01/11/21,己未,,2020,11,28,0,,,,
01/12/21,庚申,,2020,11,29,0,,,,
01/13/21,辛酉,,2020,12,1,0,,,,
01/14/21,壬戌,,2020,12,2,0,,,,
01/15/21,癸亥,,2020,12,3,0,,,,
01/16/21,甲子,,2020,12,4,0,,,,
01/17/21,乙丑,,2020,12,5,0,,,,
01/18/21,丙寅,,2020,12,6,0,,,,
01/19/21,丁卯,,2020,12,7,0,,,,
01/20/21,戊辰,大寒,2020,12,8,0,,,,
01/21/21,己巳,,2020,12,9,0,,,,
01/22/21,庚午,,2020,12,10,0,,,,
01/23/21,辛未,,2020,12,11,0,,,,
01/24/21,壬申,,2020,12,12,0,,,,
01/25/21,癸酉,,2020,12,13,0,,,,
01/26/21,甲戌,,2020,12,14,0,,,,
01/27/21,乙亥,,2020,12,15,0,,,,
01/28/21,丙子,,2020,12,16,0,,,,
01/29/21,丁丑,,2020,12,17,0,,,,
01/30/21,戊寅,,2020,12,18,0,,,,
01/31/21,己卯,,2020,12,19,0,,,,
02/01/21,庚辰,,2020,12,20,0,,,,
02/02/21,辛巳,,2020,12,21,0,,,,
02/03/21,壬午,立春,2020,12,22,0,,,,
02/04/21,癸未,,2020,12,23,0,,,,
02/05/21,甲申,,2020,12,24,0,,,,
02/06/21,乙酉,,2020,12,25,0,,,,
02/07/21,丙戌,,2020,12,26,0,,,,
02/08/21,丁亥,,2020,12,27,0,,,,
02/09/21,戊子,,2020,12,28,0,,,,
02/10/21,己丑,,2020,12,29,0,,,,
02/11/21,庚寅,,2020,12,30,0,,,,
02/12/21,辛卯,,2021,1,1,0,yudijiaoluming,,,
02/13/21,壬辰,,2021,1,2,0,,,,
02/14/21,癸巳,,2021,1,3,0,,,,
02/15/21,甲午,,2021,1,4,0,,,,
02/16/21,乙未,,2021,1,5,0,,,,
02/17/21,丙申,,2021,1,6,0,,,,
02/18/21,丁酉,雨水,2021,1,7,0,,,,
02/19/21,戊戌,,2021,1,8,0,,,,
02/20/21,己亥,,2021,1,9,0,,,,
02/21/21,庚子,,2021,1,10,0,,,,
02/22/21,辛丑,,2021,1,11,0,taisuiri,,,
02/23/21,壬寅,,2021,1,12,0,,,,
02/24/21,癸卯,,2021,1,13,0,,,,
02/25/21,甲辰,,2021,1,14,0,,,,
02/26/21,乙巳,,2021,1,15,0,,,,
02/27/21,丙午,,2021,1,16,0,,,,
02/28/21,丁未,,2021,1,17,0,,,,
03/01/21,戊申,,2021,1,18,0,,,,
03/02/21,己酉,,2021,1,19,0,,,,
03/03/21,庚戌,,2021,1,20,0,,,,
03/04/21,辛亥,,2021,1,21,0,,,,
03/05/21,壬子,惊蛰,2021,1,22,0,,,,
03/06/21,癸丑,,2021,1,23,0,,,,
03/07/21,甲寅,,2021,1,24,0,,,,
03/08/21,乙卯,,2021,1,25,0,,,,
03/09/21,丙辰,,2021,1,26,0,,,,
03/10/21,丁巳,,2021,1,27,0,,,,
03/11/21,戊午,,2021,1,28,0,,,,
03/12/21,己未,,2021,1,29,0,,,,
03/13/21,庚申,,2021,2,1,0,,,,
03/14/21,辛酉,,2021,2,2,0,,,,
03/15/21,壬戌,,2021,2,3,0,,,,
03/16/21,癸亥,,2021,2,4,0,,,,
03/17/21,甲子,,2021,2,5,0,,,,
03/18/21,乙丑,,2021,2,6,0,,,,
03/19/21,丙寅,,2021,2,7,0,,,,
03/20/21,丁卯,春分,2021,2,8,0,,,,
03/21/21,戊辰,,2021,2,9,0,,,,
03/22/21,己巳,,2021,2,10,0,,,,
03/23/21,庚午,,2021,2,11,0,,,,
03/24/21,辛未,,2021,2,12,0,,,,
03/25/21,壬申,,2021,2,13,0,,,,
03/26/21,癸酉,,2021,2,14,0,,,,
03/27/21,甲戌,,2021,2,15,0,,,,
03/28/21,乙亥,,2021,2,16,0,,,,
03/29/21,丙子,,2021,2,17,0,,,,
03/30/21,丁丑,,2021,2,18,0,,,,
03/31/21,戊寅,,2021,2,19,0,,,,
04/01/21,己卯,,2021,2,20,0,,,,
04/02/21,庚辰,,2021,2,21,0,,,,
04/03/21,辛巳,,2021,2,22,0,,,,
04/04/21,壬午,清明,2021,2,23,0,,,,
04/05/21,癸未,,2021,2,24,0,,,,
04/06/21,甲申,,2021,2,25,0,,,,
04/07/21,乙酉,,2021,2,26,0,,,,
04/08/21,丙戌,,2021,2,27,0,,,,
04/09/21,丁亥,,2021,2,28,0,,,,
04/10/21,戊子,,2021,2,29,0,,,,
04/11/21,己丑,,2021,2,30,0,,,,
04/12/21,庚寅,,2021,3,1,0,,,,
04/13/21,辛卯,,2021,3,2,0,,,,
04/14/21,壬辰,,2021,3,3,0,,,,
04/15/21,癸巳,,2021,3,4,0,,,,
04/16/21,甲午,,2021,3,5,0,,,,
04/17/21,乙未,,2021,3,6,0,,,,
04/18/21,丙申,,2021,3,7,0,,,,
04/19/21,丁酉,,2021,3,8,0,,,,
04/20/21,戊戌,谷雨,2021,3,9,0,,,,
04/21/21,己亥,,2021,3,10,0,,,,
04/22/21,庚子,,2021,3,11,0,,,,
04/23/21,辛丑,,2021,3,12,0,taisuiri,,,
04/24/21,壬寅,,2021,3,13,0,,,,
04/25/21,癸卯,,2021,3,14,0,,,,
04/26/21,甲辰,,2021,3,15,0,,,,
04/27/21,乙巳,,2021,3,16,0,,,,
04/28/21,丙午,,2021,3,17,0,,,,
04/29/21,丁未,,2021,3,18,0,,,,
04/30/21,戊申,,2021,3,19,0,,,,
05/01/21,己酉,,2021,3,20,0,,,,
05/02/21,庚戌,,2021,3,21,0,,,,
05/03/21,辛亥,,2021,3,22,0,,,,
05/04/21,壬子,,2021,3,23,0,,shizhai,Paper-skcal wrong,
05/05/21,癸丑,立夏,2021,3,24,0,,,,
05/06/21,甲寅,,2021,3,25,0,,,,
05/07/21,乙卯,,2021,3,26,0,,,,
05/08/21,丙辰,,2021,3,27,0,,,,
05/09/21,丁巳,,2021,3,28,0,,,,
05/10/21,戊午,,2021,3,29,0,,,,
