date,ganzhi,jieqi
05/01/20,甲辰,
05/02/20,乙巳,
05/03/20,丙午,
05/04/20,丁未,
05/05/20,戊申,立夏
05/06/20,己酉,
05/07/20,庚戌,
05/08/20,辛亥,
05/09/20,壬子,
05/10/20,癸丑,
05/11/20,甲寅,
05/12/20,乙卯,
05/13/20,丙辰,
05/14/20,丁巳,
05/15/20,戊午,
05/16/20,己未,
05/17/20,庚申,
05/18/20,辛酉,
05/19/20,壬戌,
05/20/20,癸亥,小满
05/21/20,甲子,
05/22/20,乙丑,
05/23/20,丙寅,
05/24/20,丁卯,
05/25/20,戊辰,
05/26/20,己巳,
05/27/20,庚午,
05/28/20,辛未,
05/29/20,壬申,
05/30/20,癸酉,
05/31/20,甲戌,
06/01/20,乙亥,
06/02/20,丙子,
06/03/20,丁丑,
06/04/20,戊寅,
06/05/20,己卯,芒种
06/06/20,庚辰,
06/07/20,辛巳,
06/08/20,壬午,
06/09/20,癸未,
06/10/20,甲申,
06/11/20,乙酉,
06/12/20,丙戌,
06/13/20,丁亥,
06/14/20,戊子,
06/15/20,己丑,
06/16/20,庚寅,
06/17/20,辛卯,
06/18/20,壬辰,
06/19/20,癸巳,
06/20/20,甲午,
06/21/20,乙未,夏至
06/22/20,丙申,
06/23/20,丁酉,
06/24/20,戊戌,
06/25/20,己亥,
06/26/20,庚子,
06/27/20,辛丑,
06/28/20,壬寅,
06/29/20,癸卯,
06/30/20,甲辰,
07/01/20,乙巳,
07/02/20,丙午,
07/03/20,丁未,
07/04/20,戊申,
07/05/20,己酉,
07/06/20,庚戌,小暑
07/07/20,辛亥,
07/08/20,壬子,
07/09/20,癸丑,
07/10/20,甲寅,
07/11/20,乙卯,
07/12/20,丙辰,
07/13/20,丁巳,
07/14/20,戊午,
07/15/20,己未,
07/16/20,庚申,
07/17/20,辛酉,
07/18/20,壬戌,
07/19/20,癸亥,
07/20/20,甲子,
07/21/20,乙丑,
07/22/20,丙寅,大暑
07/23/20,丁卯,
07/24/20,戊辰,
07/25/20,己巳,
07/26/20,庚午,
07/27/20,辛未,
07/28/20,壬申,
07/29/20,癸酉,
07/30/20,甲戌,
07/31/20,乙亥,
08/01/20,丙子,
08/02/20,丁丑,
08/03/20,戊寅,
08/04/20,己卯,
08/05/20,庚辰,
08/06/20,辛巳,
08/07/20,壬午,立秋
08/08/20,癸未,
08/09/20,甲申,
08/10/20,乙酉,
08/11/20,丙戌,
08/12/20,丁亥,
08/13/20,戊子,
08/14/20,己丑,
08/15/20,庚寅,
08/16/20,辛卯,
08/17/20,壬辰,
08/18/20,癸巳,
08/19/20,甲午,
08/20/20,乙未,
08/21/20,丙申,
08/22/20,丁酉,处暑
08/23/20,戊戌,
08/24/20,己亥,
08/25/20,庚子,
08/26/20,辛丑,
08/27/20,壬寅,
08/28/20,癸卯,
08/29/20,甲辰,
08/30/20,乙巳,
08/31/20,丙午,
09/01/20,丁未,
09/02/20,戊申,
09/03/20,己酉,
09/04/20,庚戌,
09/05/20,辛亥,
09/06/20,壬子,
09/07/20,癸丑,白露
09/08/20,甲寅,
09/09/20,乙卯,
09/10/20,丙辰,
09/11/20,丁巳,
09/12/20,戊午,
09/13/20,己未,
09/14/20,庚申,
09/15/20,辛酉,
09/16/20,壬戌,
09/17/20,癸亥,
09/18/20,甲子,
09/19/20,乙丑,
09/20/20,丙寅,
09/21/20,丁卯,
09/22/20,戊辰,秋分
09/23/20,己巳,
09/24/20,庚午,
09/25/20,辛未,
09/26/20,壬申,
09/27/20,癸酉,
09/28/20,甲戌,
09/29/20,乙亥,
09/30/20,丙子,
10/01/20,丁丑,
10/02/20,戊寅,
10/03/20,己卯,
10/04/20,庚辰,
10/05/20,辛巳,
10/06/20,壬午,
10/07/20,癸未,
10/08/20,甲申,寒露
10/09/20,乙酉,
10/10/20,丙戌,
10/11/20,丁亥,
10/12/20,戊子,
10/13/20,己丑,
10/14/20,庚寅,
10/15/20,辛卯,
10/16/20,壬辰,
10/17/20,癸巳,
10/18/20,甲午,
10/19/20,乙未,
10/20/20,丙申,
10/21/20,丁酉,
10/22/20,戊戌,
10/23/20,己亥,霜降
10/24/20,庚子,
10/25/20,辛丑,
10/26/20,壬寅,
10/27/20,癸卯,
10/28/20,甲辰,
10/29/20,乙巳,
10/30/20,丙午,
10/31/20,丁未,
11/01/20,戊申,
11/02/20,己酉,
11/03/20,庚戌,
11/04/20,辛亥,
11/05/20,壬子,
11/06/20,癸丑,
11/07/20,甲寅,立冬
11/08/20,乙卯,
11/09/20,丙辰,
11/10/20,丁巳,
11/11/20,戊午,
11/12/20,己未,
11/13/20,庚申,
11/14/20,辛酉,
11/15/20,壬戌,
11/16/20,癸亥,
11/17/20,甲子,
11/18/20,乙丑,
11/19/20,丙寅,
11/20/20,丁卯,
11/21/20,戊辰,
11/22/20,己巳,小雪
11/23/20,庚午,
11/24/20,辛未,
11/25/20,壬申,
11/26/20,癸酉,
11/27/20,甲戌,
11/28/20,乙亥,
11/29/20,丙子,
11/30/20,丁丑,
12/01/20,戊寅,
12/02/20,己卯,
12/03/20,庚辰,
12/04/20,辛巳,
12/05/20,壬午,
12/06/20,癸未,
12/07/20,甲申,大雪
12/08/20,乙酉,
12/09/20,丙戌,
12/10/20,丁亥,
12/11/20,戊子,
12/12/20,己丑,
12/13/20,庚寅,
12/14/20,辛卯,
12/15/20,壬辰,
12/16/20,癸巳,
12/17/20,甲午,
12/18/20,乙未,
12/19/20,丙申,
12/20/20,丁酉,
12/21/20,戊戌,冬至
12/22/20,己亥,
12/23/20,庚子,
12/24/20,辛丑,
12/25/20,壬寅,
12/26/20,癸卯,
12/27/20,甲辰,
12/28/20,乙巳,
12/29/20,丙午,
12/30/20,丁未,
12/31/20,戊申,
01/01/21,己酉,
01/02/21,庚戌,
01/03/21,辛亥,
01/04/21,壬子,
01/05/21,癸丑,小寒
01/06/21,甲寅,
01/07/21,乙卯,
01/08/21,丙辰,
01/09/21,丁巳,
01/10/21,戊午,
01/11/21,己未,
01/12/21,庚申,
01/13/21,辛酉,
01/14/21,壬戌,
01/15/21,癸亥,
01/16/21,甲子,
01/17/21,乙丑,
01/18/21,丙寅,
01/19/21,丁卯,
01/20/21,戊辰,大寒
01/21/21,己巳,
01/22/21,庚午,
01/23/21,辛未,
01/24/21,壬申,
01/25/21,癸酉,
01/26/21,甲戌,
01/27/21,乙亥,
01/28/21,丙子,
01/29/21,丁丑,
01/30/21,戊寅,
01/31/21,己卯,
02/01/21,庚辰,
02/02/21,辛巳,
02/03/21,壬午,立春
02/04/21,癸未,
02/05/21,甲申,
02/06/21,乙酉,
02/07/21,丙戌,
02/08/21,丁亥,
02/09/21,戊子,
02/10/21,己丑,
02/11/21,庚寅,
02/12/21,辛卯,
02/13/21,壬辰,
02/14/21,癸巳,
02/15/21,甲午,
02/16/21,乙未,
02/17/21,丙申,
02/18/21,丁酉,雨水
02/19/21,戊戌,
02/20/21,己亥,
02/21/21,庚子,
02/22/21,辛丑,
02/23/21,壬寅,
02/24/21,癸卯,
02/25/21,甲辰,
02/26/21,乙巳,
02/27/21,丙午,
02/28/21,丁未,
03/01/21,戊申,
03/02/21,己酉,
03/03/21,庚戌,
03/04/21,辛亥,
03/05/21,壬子,惊蛰
03/06/21,癸丑,
03/07/21,甲寅,
03/08/21,乙卯,
03/09/21,丙辰,
03/10/21,丁巳,
03/11/21,戊午,
03/12/21,己未,
03/13/21,庚申,
03/14/21,辛酉,
03/15/21,壬戌,
03/16/21,癸亥,
03/17/21,甲子,
03/18/21,乙丑,
03/19/21,丙寅,
03/20/21,丁卯,春分
03/21/21,戊辰,
03/22/21,己巳,
03/23/21,庚午,
03/24/21,辛未,
03/25/21,壬申,
03/26/21,癸酉,
03/27/21,甲戌,
03/28/21,乙亥,
03/29/21,丙子,
03/30/21,丁丑,
03/31/21,戊寅,
04/01/21,己卯,
04/02/21,庚辰,
04/03/21,辛巳,
04/04/21,壬午,清明
04/05/21,癸未,
04/06/21,甲申,
04/07/21,乙酉,
04/08/21,丙戌,
04/09/21,丁亥,
04/10/21,戊子,
04/11/21,己丑,
04/12/21,庚寅,
04/13/21,辛卯,
04/14/21,壬辰,
04/15/21,癸巳,
04/16/21,甲午,
04/17/21,乙未,
04/18/21,丙申,
04/19/21,丁酉,
04/20/21,戊戌,谷雨
04/21/21,己亥,
04/22/21,庚子,
04/23/21,辛丑,
04/24/21,壬寅,
04/25/21,癸卯,
04/26/21,甲辰,
04/27/21,乙巳,
04/28/21,丙午,
04/29/21,丁未,
04/30/21,戊申,
05/01/21,己酉,
05/02/21,庚戌,
05/03/21,辛亥,
05/04/21,壬子,
05/05/21,癸丑,立夏
05/06/21,甲寅,
05/07/21,乙卯,
05/08/21,丙辰,
05/09/21,丁巳,
05/10/21,戊午,
05/11/21,己未,
05/12/21,庚申,
05/13/21,辛酉,
05/14/21,壬戌,
05/15/21,癸亥,
05/16/21,甲子,
05/17/21,乙丑,
05/18/21,丙寅,
05/19/21,丁卯,
05/20/21,戊辰,
05/21/21,己巳,小满
05/22/21,庚午,
05/23/21,辛未,
05/24/21,壬申,
05/25/21,癸酉,
05/26/21,甲戌,
05/27/21,乙亥,
05/28/21,丙子,
05/29/21,丁丑,
05/30/21,戊寅,
05/31/21,己卯,
06/01/21,庚辰,
06/02/21,辛巳,
06/03/21,壬午,
06/04/21,癸未,
06/05/21,甲申,芒种
06/06/21,乙酉,
06/07/21,丙戌,
06/08/21,丁亥,
06/09/21,戊子,
06/10/21,己丑,
06/11/21,庚寅,
06/12/21,辛卯,
06/13/21,壬辰,
06/14/21,癸巳,
06/15/21,甲午,
06/16/21,乙未,
06/17/21,丙申,
06/18/21,丁酉,
06/19/21,戊戌,
06/20/21,己亥,
06/21/21,庚子,夏至
06/22/21,辛丑,
06/23/21,壬寅,
06/24/21,癸卯,
06/25/21,甲辰,
06/26/21,乙巳,
06/27/21,丙午,
06/28/21,丁未,
06/29/21,戊申,
06/30/21,己酉,
07/01/21,庚戌,
07/02/21,辛亥,
07/03/21,壬子,
07/04/21,癸丑,
07/05/21,甲寅,
07/06/21,乙卯,
07/07/21,丙辰,小暑
07/08/21,丁巳,
07/09/21,戊午,
07/10/21,己未,
07/11/21,庚申,
07/12/21,辛酉,
07/13/21,壬戌,
07/14/21,癸亥,
07/15/21,甲子,
07/16/21,乙丑,
07/17/21,丙寅,
07/18/21,丁卯,
07/19/21,戊辰,
07/20/21,己巳,
07/21/21,庚午,
07/22/21,辛未,大暑
07/23/21,壬申,
07/24/21,癸酉,
07/25/21,甲戌,
07/26/21,乙亥,
07/27/21,丙子,
07/28/21,丁丑,
07/29/21,戊寅,
07/30/21,己卯,
07/31/21,庚辰,
08/01/21,辛巳,
08/02/21,壬午,
08/03/21,癸未,
08/04/21,甲申,
08/05/21,乙酉,
08/06/21,丙戌,
08/07/21,丁亥,立秋
08/08/21,戊子,
08/09/21,己丑,
08/10/21,庚寅,
08/11/21,辛卯,
08/12/21,壬辰,
08/13/21,癸巳,
08/14/21,甲午,
08/15/21,乙未,
08/16/21,丙申,
08/17/21,丁酉,
08/18/21,戊戌,
08/19/21,己亥,
08/20/21,庚子,
08/21/21,辛丑,
08/22/21,壬寅,处暑
08/23/21,癸卯,
08/24/21,甲辰,
08/25/21,乙巳,
08/26/21,丙午,
08/27/21,丁未,
08/28/21,戊申,
08/29/21,己酉,
08/30/21,庚戌,
08/31/21,辛亥,
09/01/21,壬子,
09/02/21,癸丑,
09/03/21,甲寅,
09/04/21,乙卯,
09/05/21,丙辰,
09/06/21,丁巳,
09/07/21,戊午,白露
09/08/21,己未,
09/09/21,庚申,
09/10/21,辛酉,
09/11/21,壬戌,
09/12/21,癸亥,
09/13/21,甲子,
09/14/21,乙丑,
09/15/21,丙寅,
09/16/21,丁卯,
09/17/21,戊辰,
09/18/21,己巳,
09/19/21,庚午,
09/20/21,辛未,
09/21/21,壬申,
09/22/21,癸酉,
09/23/21,甲戌,秋分
09/24/21,乙亥,
09/25/21,丙子,
09/26/21,丁丑,
09/27/21,戊寅,
09/28/21,己卯,
09/29/21,庚辰,
09/30/21,辛巳,
10/01/21,壬午,
10/02/21,癸未,
10/03/21,甲申,
10/04/21,乙酉,
10/05/21,丙戌,
10/06/21,丁亥,
10/07/21,戊子,
10/08/21,己丑,寒露
10/09/21,庚寅,
10/10/21,辛卯,
10/11/21,壬辰,
10/12/21,癸巳,
10/13/21,甲午,
10/14/21,乙未,
10/15/21,丙申,
10/16/21,丁酉,
10/17/21,戊戌,
10/18/21,己亥,
10/19/21,庚子,
10/20/21,辛丑,
10/21/21,壬寅,
10/22/21,癸卯,
10/23/21,甲辰,霜降
10/24/21,乙巳,
10/25/21,丙午,
10/26/21,丁未,
10/27/21,戊申,
10/28/21,己酉,
10/29/21,庚戌,
10/30/21,辛亥,
10/31/21,壬子,
11/01/21,癸丑,
11/02/21,甲寅,
11/03/21,乙卯,
11/04/21,丙辰,
11/05/21,丁巳,
11/06/21,戊午,
11/07/21,己未,立冬
11/08/21,庚申,
11/09/21,辛酉,
11/10/21,壬戌,
11/11/21,癸亥,
11/12/21,甲子,
11/13/21,乙丑,
11/14/21,丙寅,
11/15/21,丁卯,
11/16/21,戊辰,
11/17/21,己巳,
11/18/21,庚午,
11/19/21,辛未,
11/20/21,壬申,
11/21/21,癸酉,
11/22/21,甲戌,小雪
11/23/21,乙亥,
11/24/21,丙子,
11/25/21,丁丑,
11/26/21,戊寅,
11/27/21,己卯,
11/28/21,庚辰,
11/29/21,辛巳,
11/30/21,壬午,
12/01/21,癸未,
12/02/21,甲申,
12/03/21,乙酉,
12/04/21,丙戌,
12/05/21,丁亥,
12/06/21,戊子,
12/07/21,己丑,大雪
12/08/21,庚寅,
12/09/21,辛卯,
12/10/21,壬辰,
12/11/21,癸巳,
12/12/21,甲午,
12/13/21,乙未,
12/14/21,丙申,
12/15/21,丁酉,
12/16/21,戊戌,
12/17/21,己亥,
12/18/21,庚子,
12/19/21,辛丑,
12/20/21,壬寅,
12/21/21,癸卯,冬至
12/22/21,甲辰,
12/23/21,乙巳,
12/24/21,丙午,
12/25/21,丁未,
12/26/21,戊申,
12/27/21,己酉,
12/28/21,庚戌,
12/29/21,辛亥,
12/30/21,壬子,
12/31/21,癸丑,
